Date,index,Temperature,Humidity,Soil1,Soil2,Soil3
31-10-2022 09:00,0,14.3,35.0,77.3,61.9,93.6
31-10-2022 10:00,1,14.9,33.4,77.2,62.2,93.7
31-10-2022 11:00,2,16.6,30.3,76.8,72.9,93.3
31-10-2022 12:00,3,18.4,26.9,76.2,47.7,93.1
31-10-2022 13:00,4,20.6,23.5,75.9,70.0,92.9
31-10-2022 14:00,5,22.450000000000003,32.1,73.5,70.1,91.4
31-10-2022 15:00,6,24.3,40.7,72.7,74.1,90.3
31-10-2022 16:00,7,25.0,11.7,74.9,80.0,94.3
31-10-2022 17:00,8,27.1,7.4,75.9,81.2,96.0
31-10-2022 18:00,9,26.7,9.5,77.3,83.5,96.9
31-10-2022 19:00,10,26.3,10.0,78.4,83.9,97.1
31-10-2022 20:00,11,25.8,11.0,79.3,83.9,97.4
31-10-2022 21:00,12,25.3,11.5,79.8,83.9,97.6
31-10-2022 22:00,13,24.7,11.0,80.0,83.9,97.8
31-10-2022 23:00,14,23.6,12.2,80.3,84.0,98.0
01-11-2022 00:00,15,22.9,13.0,80.5,84.0,98.1
01-11-2022 01:00,16,21.9,13.1,80.7,84.2,98.2
01-11-2022 02:00,17,21.1,13.5,80.9,84.4,98.3
01-11-2022 03:00,18,20.4,14.4,81.0,84.5,98.3
01-11-2022 04:00,19,19.3,15.1,81.1,84.6,98.4
01-11-2022 05:00,20,18.7,15.1,81.4,84.6,98.4
01-11-2022 06:00,21,18.0,15.0,81.6,84.4,98.4
01-11-2022 07:00,22,17.5,15.8,81.6,83.3,98.3
01-11-2022 08:00,23,17.8,16.0,81.3,83.1,98.0
01-11-2022 20:00,24,26.6,7.0,76.7,54.0,83.7
01-11-2022 21:00,25,26.3,7.3,76.9,54.6,83.8
01-11-2022 22:00,26,25.3,7.7,77.1,53.7,83.7
01-11-2022 23:00,27,24.4,8.7,77.3,53.1,83.7
02-11-2022 00:00,28,23.9,9.0,77.4,52.5,83.7
02-11-2022 01:00,29,22.8,10.1,77.7,52.8,83.6
02-11-2022 02:00,30,22.1,11.5,77.9,52.9,83.6
02-11-2022 03:00,31,21.3,13.2,78.0,52.5,83.8
02-11-2022 04:00,32,20.3,14.8,78.1,51.9,83.9
02-11-2022 05:00,33,19.6,17.6,78.1,52.3,83.9
02-11-2022 06:00,34,18.9,19.2,78.4,52.8,84.0
02-11-2022 07:00,35,18.4,21.2,78.4,53.1,83.9
02-11-2022 08:00,36,18.6,21.3,78.0,52.8,83.4
02-11-2022 09:00,37,19.1,21.5,77.5,52.9,83.0
02-11-2022 10:00,38,19.3,21.0,77.2,53.6,83.0
02-11-2022 11:00,39,20.5,19.3,76.2,52.9,82.1
02-11-2022 12:00,40,21.4,18.5,76.0,53.2,81.9
02-11-2022 13:00,41,22.5,18.2,75.4,54.0,81.4
02-11-2022 14:00,42,24.9,15.3,74.0,67.9,80.4
02-11-2022 15:00,43,28.8,11.3,73.0,68.5,78.9
02-11-2022 17:00,44,34.1,5.4,70.3,55.0,75.8
02-11-2022 18:00,45,30.8,14.7,72.8,54.3,78.9
02-11-2022 19:00,46,28.5,21.8,73.7,53.1,80.1
02-11-2022 20:00,47,27.0,28.1,74.0,52.6,80.3
02-11-2022 21:00,48,25.7,29.6,74.1,52.1,80.3
02-11-2022 22:00,49,24.6,30.5,74.1,51.9,88.7
02-11-2022 23:00,50,23.4,32.2,74.4,51.1,96.9
03-11-2022 00:00,51,22.0,33.9,88.8,60.6,93.9
03-11-2022 01:00,52,20.9,35.1,95.0,70.2,86.8
03-11-2022 02:00,53,20.3,36.7,95.1,71.0,86.9
03-11-2022 03:00,54,19.5,39.3,95.3,73.0,86.9
03-11-2022 04:00,55,18.7,42.9,95.5,73.7,87.0
03-11-2022 05:00,56,17.7,47.4,95.8,74.2,87.0
03-11-2022 06:00,57,17.3,49.6,95.9,74.3,87.0
03-11-2022 07:00,58,17.4,50.0,95.9,74.9,87.0
03-11-2022 08:00,59,18.2,47.4,95.7,73.9,86.9
03-11-2022 09:00,60,18.9,44.3,95.4,73.3,86.9
03-11-2022 10:00,61,19.7,40.8,95.1,73.6,86.8
03-11-2022 11:00,62,21.5,36.0,94.7,80.5,86.3
03-11-2022 12:00,63,23.1,29.3,94.2,87.8,85.9
03-11-2022 13:00,64,27.5,16.9,93.7,80.6,85.4
03-11-2022 14:00,65,35.3,2.7,93.0,66.8,84.6
03-11-2022 16:00,66,27.2,20.7,92.6,64.7,84.7
03-11-2022 17:00,67,28.8,20.0,91.8,64.4,83.6
03-11-2022 18:00,68,26.7,24.7,92.3,63.6,84.8
03-11-2022 19:00,69,24.9,31.4,92.8,63.1,85.5
03-11-2022 20:00,70,22.9,36.9,93.3,95.7,86.3
03-11-2022 21:00,71,22.1,38.6,93.4,95.9,86.5
03-11-2022 22:00,72,21.2,41.4,93.6,96.1,86.5
03-11-2022 23:00,73,20.0,46.3,89.9,55.4,86.7
04-11-2022 00:00,74,19.9,50.1,83.4,66.6,86.5
04-11-2022 01:00,75,19.3,52.2,83.2,62.5,86.4
04-11-2022 02:00,76,18.7,53.0,83.1,63.2,86.3
04-11-2022 03:00,77,18.2,54.8,83.1,63.6,86.3
04-11-2022 04:00,78,17.5,55.0,83.2,63.9,86.3
04-11-2022 05:00,79,16.9,56.1,83.3,62.0,86.4
04-11-2022 06:00,80,16.3,57.9,83.5,61.8,86.6
04-11-2022 07:00,81,15.8,59.7,83.5,63.0,86.7
04-11-2022 08:00,82,16.1,60.8,83.0,63.3,86.0
04-11-2022 09:00,83,16.4,61.0,82.8,64.9,85.6
04-11-2022 10:00,84,16.9,60.5,82.5,64.2,85.1
04-11-2022 11:00,85,17.7,59.1,82.3,65.6,85.0
04-11-2022 12:00,86,18.6,57.6,82.0,65.5,84.5
04-11-2022 13:00,87,19.5,55.8,81.9,64.3,84.1
04-11-2022 14:00,88,21.0,50.1,80.8,65.1,83.1
04-11-2022 15:00,89,25.4,32.3,80.1,76.1,82.8
04-11-2022 16:00,90,27.8,24.6,80.1,82.3,82.6
04-11-2022 17:00,91,27.0,25.9,79.8,82.0,82.5
04-11-2022 18:00,92,23.9,33.0,80.9,82.4,83.4
04-11-2022 19:00,93,21.4,40.9,81.5,83.0,84.0
04-11-2022 20:00,94,19.9,46.8,94.5,78.7,89.3
04-11-2022 21:00,95,18.4,51.0,99.8,92.0,90.8
04-11-2022 22:00,96,17.4,53.1,99.8,92.2,90.2
04-11-2022 23:00,97,17.0,54.0,99.9,92.5,90.0
05-11-2022 00:00,98,15.9,57.1,100.0,92.7,89.9
05-11-2022 01:00,99,14.8,60.8,100.0,92.9,89.9
05-11-2022 02:00,100,14.4,61.7,100.0,93.2,89.8
05-11-2022 03:00,101,14.0,63.0,100.0,93.3,89.8
05-11-2022 04:00,102,13.5,64.2,100.0,93.4,89.7
05-11-2022 05:00,103,12.7,66.6,100.0,93.5,89.6
05-11-2022 06:00,104,12.5,67.4,100.0,93.7,89.6
05-11-2022 07:00,105,12.8,66.6,100.0,93.7,89.3
05-11-2022 08:00,106,13.7,64.2,100.0,93.7,89.0
05-11-2022 09:00,107,14.2,63.5,100.0,93.5,88.8
05-11-2022 10:00,108,16.0,58.6,100.0,93.2,87.9
05-11-2022 11:00,109,17.6,54.6,100.0,93.0,87.2
05-11-2022 12:00,110,19.7,48.3,99.9,92.7,86.3
05-11-2022 13:00,111,24.3,36.5,99.4,92.3,85.6
05-11-2022 14:00,112,31.8,18.9,98.4,91.6,84.7
05-11-2022 15:00,113,24.7,34.3,97.7,91.2,84.0
05-11-2022 16:00,114,26.5,28.8,97.1,90.8,83.2
05-11-2022 17:00,115,28.2,25.1,96.6,90.2,82.9
05-11-2022 18:00,116,26.1,29.6,96.9,90.8,84.4
05-11-2022 19:00,117,24.2,36.3,97.3,91.1,84.9
05-11-2022 20:00,118,22.4,42.7,97.9,91.3,85.1
05-11-2022 21:00,119,21.8,49.8,98.1,91.3,85.0
05-11-2022 22:00,120,20.6,53.9,98.4,91.4,85.0
05-11-2022 23:00,121,19.8,51.2,98.8,91.6,85.0
06-11-2022 00:00,122,18.8,52.1,99.1,91.7,85.1
06-11-2022 01:00,123,18.0,53.0,99.4,91.9,85.0
06-11-2022 02:00,124,17.6,55.4,99.6,92.0,85.0
06-11-2022 03:00,125,17.2,57.6,99.8,92.1,85.0
06-11-2022 04:00,126,16.7,57.5,99.9,92.1,85.0
06-11-2022 05:00,127,16.2,58.9,99.9,92.3,85.1
06-11-2022 06:00,128,15.6,59.1,100.0,92.3,85.1
06-11-2022 07:00,129,15.3,59.6,100.0,92.4,85.1
06-11-2022 08:00,130,15.8,60.3,100.0,92.2,85.0
06-11-2022 09:00,131,16.3,59.1,99.9,92.1,84.8
06-11-2022 10:00,132,17.3,56.8,99.6,91.8,84.3
06-11-2022 11:00,133,18.5,53.1,99.2,91.4,83.9
06-11-2022 12:00,134,19.8,49.8,98.7,91.2,83.6
06-11-2022 13:00,135,21.4,47.1,98.1,90.9,83.1
06-11-2022 14:00,136,23.4,40.8,97.4,90.5,82.8
06-11-2022 15:00,137,25.6,33.9,96.7,89.9,82.3
06-11-2022 16:00,138,28.1,27.0,95.8,89.2,81.7
06-11-2022 17:00,139,27.4,28.5,95.8,89.4,82.4
06-11-2022 18:00,140,26.4,34.9,96.0,89.7,82.8
06-11-2022 19:00,141,24.7,42.7,96.6,90.4,83.0
06-11-2022 20:00,142,23.0,48.0,97.1,90.8,83.6
06-11-2022 21:00,143,21.9,50.6,96.4,90.9,83.5
06-11-2022 22:00,144,21.2,52.9,94.2,91.0,83.3
06-11-2022 23:00,145,20.5,50.8,98.8,98.8,90.2
07-11-2022 00:00,146,20.2,51.2,99.6,100.0,90.6
07-11-2022 01:00,147,19.8,52.1,99.7,100.0,90.1
07-11-2022 02:00,148,19.2,53.6,99.9,100.0,90.0
07-11-2022 03:00,149,18.7,54.7,99.9,100.0,89.8
07-11-2022 04:00,150,17.9,56.2,100.0,100.0,89.8
07-11-2022 05:00,151,17.0,58.8,100.0,100.0,89.9
07-11-2022 06:00,152,17.2,59.1,100.0,100.0,89.3
07-11-2022 07:00,153,17.1,60.0,100.0,100.0,89.0
07-11-2022 08:00,154,17.3,59.5,100.0,100.0,88.9
07-11-2022 09:00,155,17.7,59.3,99.9,100.0,88.5
07-11-2022 10:00,156,18.7,57.2,99.8,100.0,87.6
07-11-2022 11:00,157,20.0,53.8,99.3,100.0,86.8
07-11-2022 12:00,158,21.3,49.9,98.8,100.0,85.7
07-11-2022 13:00,159,22.6,44.4,98.3,100.0,85.1
07-11-2022 14:00,160,25.5,36.3,97.3,100.0,84.1
07-11-2022 15:00,161,27.8,29.7,96.5,100.0,83.2
07-11-2022 16:00,162,28.0,27.9,96.2,100.0,83.6
07-11-2022 17:00,163,26.3,31.8,96.7,100.0,84.8
07-11-2022 18:00,164,25.6,34.7,96.7,95.0,84.3
07-11-2022 19:00,165,24.5,38.9,96.9,91.0,84.4
07-11-2022 20:00,166,23.9,41.0,97.1,91.0,84.5
07-11-2022 21:00,167,23.4,42.2,97.2,91.0,84.4
07-11-2022 22:00,168,22.8,43.9,97.4,91.0,84.3
07-11-2022 23:00,169,22.0,47.4,97.6,91.1,84.5
08-11-2022 00:00,170,20.7,51.7,98.2,91.2,85.0
08-11-2022 01:00,171,19.9,53.8,98.6,91.3,85.0
08-11-2022 02:00,172,19.6,54.5,98.6,91.2,84.9
08-11-2022 03:00,173,19.4,55.9,98.7,91.2,84.8
08-11-2022 19:00,174,20.2,54.9,98.8,91.1,84.6
08-11-2022 20:00,175,20.3,53.6,98.2,90.8,84.2
08-11-2022 21:00,176,19.5,55.8,98.5,90.8,84.0
08-11-2022 22:00,177,18.9,57.7,98.8,90.9,84.0
08-11-2022 23:00,178,18.4,59.5,98.9,90.8,83.5
09-11-2022 00:00,179,17.7,61.4,99.1,91.0,83.4
09-11-2022 01:00,180,16.0,67.5,99.3,94.2,83.2
09-11-2022 02:00,181,14.9,72.0,99.6,93.6,83.3
09-11-2022 03:00,182,15.1,71.0,99.6,93.5,83.1
09-11-2022 04:00,183,15.3,70.6,99.5,93.4,83.0
09-11-2022 05:00,184,15.2,71.3,99.6,93.4,83.0
09-11-2022 06:00,185,15.3,71.2,99.6,93.3,83.0
09-11-2022 07:00,186,15.1,73.0,99.7,93.4,83.0
09-11-2022 08:00,187,15.0,74.8,99.7,93.4,83.0
09-11-2022 09:00,188,14.9,72.3,99.8,93.5,83.0
09-11-2022 10:00,189,15.4,67.5,99.7,93.4,83.0
09-11-2022 11:00,190,15.6,68.0,99.6,93.2,83.0
09-11-2022 12:00,191,16.0,69.1,99.5,93.2,82.9
09-11-2022 13:00,192,17.0,66.4,99.1,93.1,82.7
09-11-2022 22:00,193,15.3,60.4,99.1,94.0,90.9
09-11-2022 23:00,194,14.8,61.8,99.3,92.6,90.8
10-11-2022 00:00,195,14.4,63.1,99.5,92.6,90.7
10-11-2022 01:00,196,14.0,64.3,99.6,92.6,90.6
10-11-2022 02:00,197,13.5,65.3,99.8,92.6,90.5
10-11-2022 03:00,198,13.1,66.6,99.8,92.6,90.4
10-11-2022 04:00,199,12.7,67.2,99.9,92.6,90.4
10-11-2022 05:00,200,12.3,67.4,100.0,92.6,90.4
10-11-2022 06:00,201,12.0,70.1,100.0,92.6,90.1
10-11-2022 07:00,202,12.7,67.3,99.9,92.5,89.9
10-11-2022 08:00,203,14.1,64.5,99.7,92.2,89.3
10-11-2022 09:00,204,15.5,60.3,99.4,91.7,88.9
10-11-2022 10:00,205,17.2,55.0,98.8,91.3,88.3
10-11-2022 11:00,206,18.4,50.5,98.4,91.1,87.9
10-11-2022 12:00,207,19.5,44.0,98.0,90.9,87.4
10-11-2022 13:00,208,23.3,33.9,97.3,90.6,86.5
10-11-2022 14:00,209,27.1,25.0,96.7,90.4,85.7
10-11-2022 15:00,210,25.5,25.6,96.3,90.1,85.0
10-11-2022 16:00,211,28.2,21.7,95.7,89.7,84.0
10-11-2022 17:00,212,23.7,33.7,96.2,90.2,85.0
10-11-2022 18:00,213,20.7,47.1,97.1,90.9,86.4
10-11-2022 19:00,214,19.8,50.6,97.3,91.2,86.1
