Data,Eto
22-05-2019,1.8
23-05-2019,2.4
24-05-2019,2.5
25-05-2019,2.7
26-05-2019,1.2
27-05-2019,2.1
28-05-2019,1.8
29-05-2019,3.0
30-05-2019,1.7
31-05-2019,1.6
01-06-2019,1.1
02-06-2019,1.5
03-06-2019,2.4
04-06-2019,2.2
05-06-2019,2.6
06-06-2019,1.7
07-06-2019,1.6
08-06-2019,2.5
09-06-2019,2.3
10-06-2019,2.5
11-06-2019,1.6
12-06-2019,2.4
13-06-2019,0.6
14-06-2019,1.0
15-06-2019,1.4
16-06-2019,1.3
17-06-2019,0.9
18-06-2019,1.3
19-06-2019,1.7
20-06-2019,2.3
21-06-2019,1.2
22-06-2019,1.4
23-06-2019,1.7
24-06-2019,1.3
25-06-2019,1.3
26-06-2019,1.3
27-06-2019,1.2
28-06-2019,1.0
29-06-2019,1.0
30-06-2019,0.9
01-07-2019,1.4
02-07-2019,1.7
03-07-2019,1.9
04-07-2019,1.5
05-07-2019,1.3
06-07-2019,1.1
07-07-2019,0.9
08-07-2019,1.1
09-07-2019,1.2
10-07-2019,1.0
11-07-2019,1.4
12-07-2019,1.4
13-07-2019,1.3
14-07-2019,1.4
15-07-2019,1.4333333333333333
16-07-2019,1.4666666666666666
17-07-2019,1.5
18-07-2019,2.3
19-07-2019,1.6
20-07-2019,2.1
21-07-2019,0.9
22-07-2019,1.2
23-07-2019,1.3
24-07-2019,2.2
25-07-2019,1.5
26-07-2019,1.7
27-07-2019,1.7
28-07-2019,1.8
29-07-2019,2.2
30-07-2019,2.6
31-07-2019,1.8
01-08-2019,2.05
02-08-2019,2.3
03-08-2019,3.1
04-08-2019,3.5
05-08-2019,3.1
06-08-2019,1.4
07-08-2019,2.5
08-08-2019,2.1
09-08-2019,2.2
10-08-2019,3.2
11-08-2019,2.5
12-08-2019,2.4
13-08-2019,2.9
14-08-2019,5.0
15-08-2019,1.8
16-08-2019,1.6
17-08-2019,2.3
18-08-2019,1.3
19-08-2019,1.2
20-08-2019,4.2
21-08-2019,2.3
22-08-2019,4.7
23-08-2019,4.5
24-08-2019,3.9
25-08-2019,3.2
26-08-2019,3.7
27-08-2019,4.6
28-08-2019,5.0
29-08-2019,3.7
30-08-2019,3.6
31-08-2019,4.1
01-09-2019,4.4
02-09-2019,4.3
03-09-2019,4.4
04-09-2019,2.8
05-09-2019,2.0
06-09-2019,2.2
07-09-2019,2.6
08-09-2019,3.1
09-09-2019,1.7
10-09-2019,2.5
11-09-2019,3.0
12-09-2019,4.8
13-09-2019,5.0
14-09-2019,2.6
15-09-2019,3.3
16-09-2019,4.3
17-09-2019,3.6
18-09-2019,3.9
19-09-2019,3.3
20-09-2019,4.8
21-09-2019,5.1
22-09-2019,5.9
23-09-2019,3.8
24-09-2019,3.8
25-09-2019,4.8
26-09-2019,3.4
27-09-2019,3.3
28-09-2019,5.7
29-09-2019,4.7
30-09-2019,2.3
01-10-2019,2.4
02-10-2019,2.95
03-10-2019,3.5
04-10-2019,4.3
05-10-2019,5.1000000000000005
06-10-2019,5.9
07-10-2019,4.4
08-10-2019,5.1
09-10-2019,4.3
10-10-2019,3.9
11-10-2019,3.0
12-10-2019,2.4
13-10-2019,5.1
14-10-2019,2.3
15-10-2019,4.0
16-10-2019,3.2
17-10-2019,4.3
18-10-2019,4.5
19-10-2019,4.2
20-10-2019,4.9
21-10-2019,5.4
22-10-2019,6.8
23-10-2019,5.8
24-10-2019,5.4
25-10-2019,5.7
26-10-2019,6.1
27-10-2019,4.3
28-10-2019,5.5
29-10-2019,5.0
30-10-2019,5.9
31-10-2019,6.8
01-11-2019,6.6
02-11-2019,7.3
03-11-2019,7.0
04-11-2019,3.7
05-11-2019,6.0
06-11-2019,6.7
07-11-2019,7.0
08-11-2019,4.8
09-11-2019,7.300000000000001
10-11-2019,9.8
11-11-2019,6.7
12-11-2019,7.3
13-11-2019,7.7
14-11-2019,8.8
15-11-2019,9.3
16-11-2019,9.8
17-11-2019,9.1
18-11-2019,9.1
19-11-2019,10.5
20-11-2019,10.1
21-11-2019,7.8
22-11-2019,7.5
23-11-2019,6.3
24-11-2019,6.0
25-11-2019,5.6
26-11-2019,7.5
27-11-2019,9.0
28-11-2019,9.4
29-11-2019,8.9
30-11-2019,9.5
01-12-2019,9.3
02-12-2019,7.5
03-12-2019,9.1
04-12-2019,9.4
05-12-2019,9.8
06-12-2019,8.8
07-12-2019,7.7
08-12-2019,8.4
09-12-2019,8.3
10-12-2019,8.2
11-12-2019,8.2
12-12-2019,10.5
13-12-2019,10.2
14-12-2019,6.0
15-12-2019,8.4
16-12-2019,8.8
17-12-2019,9.5
18-12-2019,9.7
19-12-2019,7.4
20-12-2019,8.7
21-12-2019,10.6
22-12-2019,10.4
23-12-2019,9.9
24-12-2019,9.4
25-12-2019,8.6
26-12-2019,9.1
27-12-2019,10.2
28-12-2019,10.4
29-12-2019,10.6
30-12-2019,10.2
31-12-2019,10.4
01-01-2020,8.8
02-01-2020,8.7
03-01-2020,8.2
04-01-2020,8.9
05-01-2020,6.2
06-01-2020,6.7
07-01-2020,8.0
08-01-2020,6.2
09-01-2020,7.7
10-01-2020,9.1
11-01-2020,9.7
12-01-2020,9.8
13-01-2020,9.7
14-01-2020,9.4
15-01-2020,10.6
16-01-2020,9.5
17-01-2020,9.4
18-01-2020,9.3
19-01-2020,7.6
20-01-2020,8.3
21-01-2020,9.0
22-01-2020,8.2
23-01-2020,7.9
24-01-2020,8.6
25-01-2020,9.7
26-01-2020,9.9
27-01-2020,9.7
28-01-2020,9.1
29-01-2020,7.7
30-01-2020,8.9
31-01-2020,9.5
01-02-2020,9.2
02-02-2020,8.9
03-02-2020,9.8
04-02-2020,8.2
05-02-2020,7.7
06-02-2020,8.0
07-02-2020,9.1
08-02-2020,9.4
09-02-2020,9.4
10-02-2020,8.5
11-02-2020,7.7
12-02-2020,7.4
13-02-2020,7.9
14-02-2020,8.8
15-02-2020,9.0
16-02-2020,8.3
17-02-2020,7.3
18-02-2020,9.0
19-02-2020,9.0
20-02-2020,8.5
21-02-2020,6.2
22-02-2020,7.0
23-02-2020,6.5
24-02-2020,5.7
25-02-2020,7.2
26-02-2020,8.8
27-02-2020,8.6
28-02-2020,8.2
29-02-2020,8.0
01-03-2020,6.2
02-03-2020,6.9
03-03-2020,7.7
04-03-2020,7.3
05-03-2020,8.1
