Data,Eto,p
01-04-2016,2.09,100.0
02-04-2016,2.04,100.0
03-04-2016,1.42,100.0
04-04-2016,2.84,100.0
05-04-2016,1.42,100.0
06-04-2016,3.49,100.0
07-04-2016,2.13,100.0
08-04-2016,2.93,100.0
09-04-2016,2.94,100.0
10-04-2016,2.5,100.0
11-04-2016,2.98,100.0
12-04-2016,1.06,100.0
13-04-2016,1.03,100.0
14-04-2016,1.57,100.0
15-04-2016,0.71,100.0
16-04-2016,1.21,100.0
17-04-2016,0.68,100.0
18-04-2016,1.7,100.0
19-04-2016,2.01,100.0
20-04-2016,2.41,100.0
21-04-2016,2.03,100.0
22-04-2016,0.92,100.0
23-04-2016,1.18,100.0
24-04-2016,1.09,100.0
25-04-2016,1.72,100.0
26-04-2016,2.19,100.0
27-04-2016,1.51,100.0
28-04-2016,1.27,100.0
29-04-2016,1.93,100.0
30-04-2016,1.89,100.0
01-05-2016,1.16,100.0
02-05-2016,1.65,100.0
03-05-2016,1.87,100.0
04-05-2016,1.52,100.0
05-05-2016,1.07,100.0
06-05-2016,1.0,100.0
07-05-2016,1.37,100.0
08-05-2016,1.15,100.0
09-05-2016,1.45,100.0
10-05-2016,0.82,100.0
11-05-2016,1.08,100.0
12-05-2016,1.0,100.0
13-05-2016,0.92,100.0
14-05-2016,1.35,100.0
15-05-2016,1.15,100.0
16-05-2016,1.22,100.0
17-05-2016,1.06,100.0
18-05-2016,0.66,100.0
19-05-2016,0.98,100.0
20-05-2016,1.08,100.0
21-05-2016,1.19,100.0
22-05-2016,1.07,100.0
23-05-2016,1.65,100.0
24-05-2016,0.92,100.0
25-05-2016,1.21,100.0
26-05-2016,0.82,100.0
27-05-2016,1.01,100.0
28-05-2016,0.64,100.0
29-05-2016,0.64,100.0
30-05-2016,0.9,100.0
31-05-2016,0.97,100.0
01-06-2016,1.01,100.0
02-06-2016,0.55,100.0
03-06-2016,0.47,100.0
04-06-2016,0.93,100.0
05-06-2016,0.8,100.0
06-06-2016,0.85,100.0
07-06-2016,0.99,100.0
08-06-2016,1.09,100.0
09-06-2016,0.7,100.0
10-06-2016,1.06,100.0
11-06-2016,1.1,100.0
12-06-2016,1.07,100.0
13-06-2016,0.83,100.0
14-06-2016,0.62,100.0
15-06-2016,0.66,100.0
16-06-2016,0.95,100.0
17-06-2016,1.15,100.0
18-06-2016,0.96,100.0
19-06-2016,0.52,100.0
20-06-2016,0.61,100.0
21-06-2016,0.87,100.0
22-06-2016,0.8,100.0
23-06-2016,0.79,100.0
24-06-2016,0.65,100.0
25-06-2016,0.72,100.0
26-06-2016,0.83,100.0
27-06-2016,1.07,100.0
28-06-2016,1.38,100.0
29-06-2016,0.47,100.0
30-06-2016,0.63,100.0
01-07-2016,0.82,100.0
02-07-2016,0.58,100.0
03-07-2016,0.72,100.0
04-07-2016,0.885,100.0
05-07-2016,1.05,100.0
06-07-2016,1.1,100.0
07-07-2016,1.06,100.0
08-07-2016,0.56,100.0
09-07-2016,0.97,100.0
10-07-2016,0.88,100.0
11-07-2016,1.33,100.0
12-07-2016,0.56,100.0
13-07-2016,1.36,100.0
14-07-2016,1.02,100.0
15-07-2016,0.95,100.0
16-07-2016,0.89,100.0
17-07-2016,0.72,100.0
18-07-2016,1.17,100.0
19-07-2016,0.72,100.0
20-07-2016,1.17,100.0
21-07-2016,1.28,100.0
22-07-2016,1.34,100.0
23-07-2016,0.86,100.0
24-07-2016,0.76,100.0
25-07-2016,0.92,100.0
26-07-2016,0.98,100.0
27-07-2016,1.54,100.0
28-07-2016,1.22,100.0
29-07-2016,1.3,100.0
30-07-2016,0.94,100.0
31-07-2016,1.29,100.0
01-08-2016,1.22,100.0
02-08-2016,1.38,100.0
03-08-2016,1.06,100.0
04-08-2016,1.46,100.0
05-08-2016,1.41,100.0
06-08-2016,1.44,100.0
07-08-2016,1.35,100.0
08-08-2016,1.59,100.0
09-08-2016,1.89,100.0
10-08-2016,2.0,100.0
11-08-2016,1.73,100.0
12-08-2016,1.27,100.0
13-08-2016,1.8,100.0
14-08-2016,1.27,100.0
15-08-2016,2.2,100.0
16-08-2016,1.81,100.0
17-08-2016,2.0,100.0
18-08-2016,1.98,100.0
19-08-2016,1.71,100.0
20-08-2016,1.89,100.0
21-08-2016,2.34,100.0
22-08-2016,2.61,100.0
23-08-2016,0.71,100.0
24-08-2016,1.08,100.0
25-08-2016,1.97,100.0
26-08-2016,1.54,100.0
27-08-2016,1.41,100.0
28-08-2016,2.02,100.0
29-08-2016,2.21,100.0
30-08-2016,2.44,100.0
31-08-2016,1.27,100.0
01-09-2016,2.07,100.0
02-09-2016,2.18,100.0
03-09-2016,2.56,100.0
04-09-2016,2.73,100.0
05-09-2016,2.65,100.0
06-09-2016,2.86,100.0
07-09-2016,3.76,100.0
08-09-2016,2.83,100.0
09-09-2016,3.21,100.0
10-09-2016,3.37,100.0
11-09-2016,2.32,100.0
12-09-2016,2.06,100.0
13-09-2016,2.68,100.0
14-09-2016,2.5,100.0
15-09-2016,1.72,100.0
16-09-2016,1.63,100.0
17-09-2016,2.76,100.0
18-09-2016,3.57,100.0
19-09-2016,4.47,100.0
20-09-2016,4.11,100.0
21-09-2016,4.04,100.0
22-09-2016,3.85,100.0
23-09-2016,3.89,100.0
24-09-2016,4.23,100.0
25-09-2016,3.15,100.0
26-09-2016,3.47,100.0
27-09-2016,3.89,100.0
28-09-2016,3.11,100.0
29-09-2016,2.51,100.0
30-09-2016,3.62,100.0
01-10-2016,3.74,100.0
02-10-2016,4.73,100.0
03-10-2016,4.37,100.0
04-10-2016,4.39,100.0
05-10-2016,4.58,100.0
06-10-2016,4.05,100.0
07-10-2016,4.31,100.0
08-10-2016,4.04,100.0
09-10-2016,4.72,100.0
10-10-2016,4.58,100.0
11-10-2016,3.54,100.0
12-10-2016,2.18,100.0
13-10-2016,4.17,100.0
14-10-2016,2.16,100.0
15-10-2016,1.37,100.0
16-10-2016,2.03,100.0
17-10-2016,1.83,100.0
18-10-2016,2.65,100.0
19-10-2016,3.83,100.0
20-10-2016,4.43,100.0
21-10-2016,5.2,100.0
22-10-2016,3.96,100.0
23-10-2016,3.26,100.0
24-10-2016,3.58,100.0
25-10-2016,4.95,100.0
26-10-2016,5.4,100.0
27-10-2016,6.34,100.0
28-10-2016,3.38,100.0
29-10-2016,4.55,100.0
30-10-2016,4.91,100.0
31-10-2016,2.77,100.0
01-11-2016,4.97,100.0
02-11-2016,5.53,100.0
03-11-2016,6.25,100.0
04-11-2016,6.79,100.0
05-11-2016,6.35,100.0
06-11-2016,6.15,100.0
07-11-2016,6.48,100.0
08-11-2016,6.45,100.0
09-11-2016,6.32,100.0
10-11-2016,6.67,100.0
11-11-2016,6.86,100.0
12-11-2016,5.4,100.0
13-11-2016,5.2,100.0
14-11-2016,5.31,100.0
15-11-2016,6.14,100.0
16-11-2016,6.37,100.0
17-11-2016,7.22,100.0
18-11-2016,6.95,100.0
19-11-2016,5.61,100.0
20-11-2016,4.3,100.0
21-11-2016,5.22,100.0
22-11-2016,5.07,100.0
23-11-2016,3.17,100.0
24-11-2016,6.53,100.0
25-11-2016,5.21,100.0
26-11-2016,5.61,100.0
27-11-2016,5.53,100.0
28-11-2016,6.59,100.0
29-11-2016,7.62,100.0
30-11-2016,5.65,100.0
01-12-2016,6.21,100.0
02-12-2016,6.6,100.0
03-12-2016,5.78,100.0
04-12-2016,5.95,100.0
05-12-2016,6.12,100.0
06-12-2016,7.12,100.0
07-12-2016,6.41,100.0
08-12-2016,5.68,100.0
09-12-2016,1.27,100.0
10-12-2016,5.6,100.0
11-12-2016,7.29,100.0
12-12-2016,7.29,100.0
13-12-2016,7.56,100.0
14-12-2016,8.78,100.0
15-12-2016,6.41,100.0
16-12-2016,5.93,100.0
17-12-2016,5.92,100.0
18-12-2016,6.96,100.0
19-12-2016,7.92,100.0
20-12-2016,6.98,100.0
21-12-2016,6.89,100.0
22-12-2016,6.88,100.0
23-12-2016,7.01,100.0
24-12-2016,6.39,100.0
25-12-2016,6.13,100.0
26-12-2016,4.21,100.0
27-12-2016,7.06,100.0
28-12-2016,7.35,100.0
29-12-2016,5.53,100.0
30-12-2016,5.95,100.0
31-12-2016,5.74,100.0
01-01-2017,7.17,100.0
02-01-2017,7.83,100.0
03-01-2017,7.12,100.0
04-01-2017,7.19,100.0
05-01-2017,7.93,100.0
06-01-2017,7.28,100.0
07-01-2017,7.04,100.0
08-01-2017,7.18,100.0
09-01-2017,6.44,100.0
10-01-2017,7.01,100.0
11-01-2017,7.59,100.0
12-01-2017,7.85,100.0
13-01-2017,8.38,100.0
14-01-2017,7.8,100.0
15-01-2017,7.4,100.0
16-01-2017,7.24,100.0
17-01-2017,7.43,100.0
18-01-2017,8.46,100.0
19-01-2017,7.47,100.0
20-01-2017,7.9,100.0
21-01-2017,7.24,100.0
22-01-2017,6.13,100.0
23-01-2017,6.68,100.0
24-01-2017,6.83,100.0
25-01-2017,7.32,100.0
26-01-2017,7.17,100.0
27-01-2017,7.02,100.0
28-01-2017,5.86,100.0
29-01-2017,6.49,100.0
30-01-2017,6.51,100.0
31-01-2017,7.59,100.0
01-02-2017,6.81,100.0
