date,rhmin,rhmax,tmin,tmax,temp,wind,rs,rh,pressure,et0,ra,et0_pmfao56,et0_hs,et0_fao24,et0_hamon
2021-01-01,28.5,62.5,16.0,28.9,22.4,16.8,33.3,45.5,958.0,8.7,44.12124043987763,8.632600162290768,5.98501015402496,8.03687666271476,5.64990637762957
2021-01-02,34.3,78.3,14.1,28.7,21.4,18.3,31.8,56.3,959.0,8.0,44.08544274707749,7.931729246736886,6.197768243632441,7.211373540586839,5.30090404366743
2021-01-03,25.2,77.4,14.6,30.8,22.7,16.6,33.6,51.3,959.0,9.0,44.04628677575424,8.88268443436349,6.747513659002216,7.900403084869999,5.741747961136027
2021-01-04,27.8,69.7,15.5,30.3,22.9,16.6,33.4,48.8,957.0,8.9,44.0037713766795,8.779747445702377,6.476209759970598,7.9841971605403605,5.805458503325564
2021-01-05,25.4,73.2,12.0,28.4,20.2,18.2,33.6,49.3,958.0,8.6,43.957895559843365,8.519092200326664,6.341882770817228,7.762736705103172,4.896314880279113
2021-01-06,23.6,78.4,12.3,29.0,20.6,16.0,33.6,51.0,960.0,8.5,43.908658512103194,8.394369999586798,6.462233388855763,7.592345633408724,5.01191091289155
2021-01-07,25.3,75.8,14.0,30.4,22.2,15.1,33.3,50.6,960.0,8.6,43.85605961608738,8.540289549113403,6.673044689706156,7.683799097795374,5.529252575459114
2021-01-08,30.1,75.0,13.9,28.2,21.0,17.2,33.5,52.6,960.0,8.2,43.80009847035968,8.1420133917369,6.029553033588265,7.640164333977685,5.120181528971188
2021-01-09,34.1,94.4,11.4,26.6,19.0,16.1,25.6,64.2,960.0,6.4,43.74077491084773,6.341501896821995,5.876660834906167,5.129681307832981,4.509696764198698
2021-01-10,24.9,74.6,10.2,27.4,18.8,16.6,33.9,49.8,960.0,8.1,43.67808903353629,8.093532912739157,6.207260803119192,7.4996097770158086,4.4445279651142275
2021-01-11,24.9,73.4,11.0,28.1,19.6,13.8,33.7,49.2,961.0,7.9,43.61204121842225,7.90099906329545,6.319768468999142,7.394810891647906,4.662361812144275
2021-01-12,23.5,65.5,12.9,30.0,21.4,13.6,33.5,44.5,959.0,8.5,43.542632154725545,8.456526311759728,6.624855829927301,7.755728682489797,5.205815539193305
2021-01-13,19.1,53.3,12.2,30.0,21.1,14.6,33.9,36.2,959.0,9.1,43.46986286734538,9.028554993273506,6.694220145299762,8.175202829865466,5.097179809942057
2021-01-14,21.3,55.4,12.6,29.5,21.0,14.1,33.5,38.4,958.0,8.8,43.39373474454754,8.658798294341116,6.494001670638301,7.953531245308782,5.053122347143716
2021-01-15,18.2,59.7,13.3,29.4,21.4,15.0,32.0,39.0,958.0,8.9,43.31424956686332,8.697321676126677,6.394512347443775,7.681619530828182,5.167992324960227
2021-01-16,20.9,60.8,14.0,29.0,21.5,14.1,33.5,40.8,958.0,8.6,43.231409537176255,8.534856003670619,6.176707733441692,7.939973450583518,5.186828226952007
2021-01-17,13.4,57.0,13.2,32.0,22.6,12.1,33.9,35.2,958.0,9.2,43.145217311967514,9.134145567862625,7.1018745446700065,8.221987931269602,5.540982313015208
2021-01-18,21.4,59.0,14.5,31.2,22.8,12.3,32.9,40.2,956.0,8.6,43.05567603368533,8.567636444366808,6.7139564491502,7.852838169198415,5.5950581106253825
2021-01-19,31.6,66.6,15.8,29.3,22.6,15.2,31.5,49.1,958.0,8.2,42.9627893641986,8.04227624261011,5.992675551367724,7.368024706505328,5.509695609099541
2021-01-20,35.1,79.8,14.6,30.0,22.3,17.1,31.8,57.4,957.0,8.1,42.866561519288965,7.986883026146204,6.336913355536477,7.201359958654675,5.391372425135048
2021-01-21,40.9,77.7,15.4,28.2,21.8,15.9,31.5,59.3,958.0,7.3,42.76699730413018,7.276189271828334,5.6892362404000645,6.9139597228713665,5.209619225082265
2021-01-22,38.0,80.1,15.5,30.2,22.8,13.5,31.2,59.0,956.0,7.4,42.664102149697406,7.444312320127963,6.241818692632603,6.823695534801933,5.52830362259
2021-01-23,38.1,78.3,16.4,29.4,22.9,16.4,30.7,58.2,957.0,7.6,42.557882150043866,7.607049982867508,5.870185606981521,6.9329807371529215,5.545151671382575
2021-01-24,37.4,73.6,17.0,30.2,23.6,15.8,30.4,55.5,957.0,7.9,42.44834410037607,7.809211554838602,6.005473143167057,7.010300632148767,5.774126219424347
2021-01-25,37.4,74.8,16.3,29.4,22.8,17.8,31.2,56.1,956.0,8.0,42.33549553585344,7.897096461375332,5.846960595117794,7.2190073899957845,5.474063459155803
2021-01-26,23.6,71.9,15.2,29.9,22.5,17.8,31.2,47.8,958.0,8.9,42.21934477103255,8.716564609430456,6.129334993622153,7.5067244069776615,5.35391494349173
2021-01-27,24.1,68.3,13.7,29.4,21.5,15.1,31.9,46.2,958.0,8.4,42.099900939870786,8.272615869551675,6.1537936171402015,7.429344016791136,5.011868549395218
2021-01-28,21.3,58.4,15.7,28.2,22.0,15.0,23.1,39.8,956.0,7.7,41.97717403619926,7.527728005741582,5.547279418953536,5.502429634948557,5.1524110171626925
2021-01-29,44.3,97.2,14.5,22.3,18.4,11.8,6.9,70.8,958.0,3.1,41.85117495456971,2.871397293936009,3.9599313542612684,1.0342316881755613,4.099222127333614
2021-01-30,53.4,97.8,14.5,23.3,18.9,11.9,13.3,75.6,958.0,3.5,41.7219155313752,3.4732110031586516,4.253088657694607,2.208458112556669,4.213558416226395
2021-01-31,49.2,95.1,16.0,24.6,20.3,15.1,23.1,72.2,959.0,5.0,41.58940858614093,5.049714727423417,4.356869378105116,4.411659363170528,4.581364784621447
2021-02-01,47.1,99.6,12.2,23.7,18.0,14.9,26.4,73.4,958.0,5.0,41.453667962876274,5.142001277749774,4.70817049484341,4.812245310683426,3.9525731693199235
