,temp,clouds,pressure,wind,humidity
1451642400,16.72,72,1009,0.86,70
1451649600,17.77,1,1010,1.5,63
1451656800,24.91,0,1008,1.79,48
1451664000,26.65,0,1008,3.29,43
1451671200,28.37,50,1007,3.6,31
1451678400,29.45,3,1008,3.04,36
1451685600,25.14,1,1008,3.63,51
1451728800,16.99,99,1013,0.76,68
1451736000,16.17,40,1013,0.0,74
1451743200,24.93,74,1011,1.43,48
1451750400,27.14,46,1011,2.94,42
1451757600,29.37,40,1009,2.6,33
1451764800,28.1,74,1010,3.85,42
1451772000,24.54,81,1010,3.41,53
1451815200,17.42,89,1012,0.46,70
1451822400,18.27,40,1013,0.0,62
1451829600,23.56,99,1012,1.92,51
1451836800,24.38,100,1012,3.15,49
1451844000,24.27,40,1010,3.1,46
1451851200,24.67,89,1012,2.81,49
1451858400,23.37,100,1012,2.22,56
1451901600,17.41,82,1012,1.36,73
1451908800,17.99,95,1014,1.22,72
1451916000,19.64,83,1014,1.55,66
1451923200,24.2,92,1014,1.48,50
1451930400,26.65,100,1014,0.41,38
1451937600,27.82,100,1013,1.79,31
1451944800,26.13,66,1012,3.23,38
1451988000,17.73,100,1013,1.48,48
1451995200,18.48,100,1013,2.37,52
1452002400,24.36,90,1013,3.2,43
1452009600,28.25,40,1012,1.09,29
1452016800,30.08,83,1013,4.27,24
1452024000,27.87,99,1014,3.24,34
1452031200,25.52,99,1014,1.32,49
1452074400,22.28,42,1015,2.12,49
1452081600,23.2,29,1015,0.57,51
1452088800,26.35,9,1014,2.1,31
1452096000,30.81,20,1014,2.27,29
1452103200,30.95,45,1013,3.43,29
1452110400,30.44,33,1013,1.82,27
1452117600,26.81,68,1013,2.55,50
1452160800,16.8,80,1014,0.82,83
1452168000,19.15,83,1015,1.57,73
1452175200,21.47,61,1014,2.48,64
1452182400,23.66,65,1014,2.35,55
1452189600,25.06,46,1013,1.86,52
1452196800,25.79,45,1011,2.2,50
1452204000,23.55,35,1012,2.03,62
1452247200,15.78,72,1014,0.8,89
1452254400,16.97,90,1015,2.0,72
1452261600,20.44,79,1015,1.85,69
1452268800,22.1,89,1015,1.63,63
1452276000,24.77,75,1014,1.0,45
1452283200,25.5,85,1013,2.54,49
1452290400,23.05,76,1013,3.25,59
1452333600,16.84,2,1014,0.87,75
1452340800,16.77,20,1015,0.0,68
1452348000,23.41,0,1013,1.94,53
1452355200,25.67,0,1012,2.44,47
1452362400,29.37,1,1010,0.0,28
1452369600,27.73,0,1011,3.76,43
1452376800,24.74,1,1011,3.26,52
1452420000,17.05,0,1014,0.27,71
1452427200,15.37,1,1015,0.0,79
1452434400,24.34,13,1014,1.71,49
1452441600,27.06,42,1013,2.66,44
1452448800,30.27,50,1010,3.0,31
1452456000,28.75,38,1011,3.91,41
1452463200,25.41,8,1011,3.42,55
1452506400,16.4,1,1013,0.14,80
1452513600,15.17,1,1014,0.0,78
1452520800,22.11,0,1013,2.17,59
1452528000,24.05,1,1013,3.05,53
1452535200,24.37,1,1012,4.0,46
1452542400,26.23,20,1013,3.6,46
1452549600,22.38,16,1013,3.24,59
1452592800,14.25,11,1017,1.28,81
1452600000,14.77,90,1019,1.0,67
1452607200,19.27,29,1018,2.3,60
1452614400,21.37,48,1018,2.11,54
1452621600,22.47,20,1017,1.0,47
1452628800,26.84,52,1016,2.08,36
1452636000,24.31,64,1015,2.57,46
1452679200,17.74,0,1016,1.12,54
1452686400,16.47,1,1016,0.0,67
1452693600,24.86,0,1014,1.7,43
1452700800,29.1,0,1013,2.44,32
1452708000,31.77,0,1013,2.99,25
1452715200,31.22,10,1013,2.98,28
1452722400,27.55,1,1012,3.5,45
1452765600,17.56,15,1015,0.09,80
1452772800,15.37,1,1016,0.0,82
1452780000,22.1,0,1015,2.28,60
1452787200,24.61,1,1015,2.55,52
1452794400,24.17,1,1014,0.0,51
1452801600,28.51,2,1014,2.94,40
1452808800,25.23,0,1013,3.26,50
1452852000,18.2,0,1015,0.69,66
1452859200,16.57,1,1017,0.0,69
1452866400,24.32,0,1014,1.71,47
1452873600,27.22,0,1014,2.56,36
1452880800,30.47,1,1011,3.0,23
1452888000,30.96,0,1012,3.84,26
1452895200,27.61,0,1011,3.53,38
1452938400,19.76,0,1013,0.71,63
1452945600,19.67,1,1014,0.0,64
1452952800,25.23,0,1012,2.24,45
1452960000,27.95,0,1012,3.01,40
1452967200,31.57,1,1009,2.0,25
1452974400,31.97,0,1011,3.47,29
1452981600,28.52,0,1010,3.56,41
1453024800,20.09,0,1012,0.82,60
1453032000,20.57,1,1013,1.0,54
1453039200,26.39,0,1011,1.7,41
1453046400,30.86,0,1011,2.39,32
1453053600,33.57,1,1008,3.0,23
1453060800,34.49,0,1010,3.61,23
1453068000,30.54,0,1010,3.75,33
1453111200,21.31,0,1012,0.74,50
1453118400,21.47,1,1012,0.0,45
1453125600,27.67,0,1012,2.33,36
1453132800,29.95,0,1011,3.31,34
1453140000,31.07,0,1010,3.0,24
1453147200,31.03,0,1011,4.18,35
1453154400,26.65,0,1011,3.62,51
1453197600,17.08,81,1012,0.34,79
1453204800,16.27,40,1014,1.0,80
1453212000,23.42,0,1013,2.37,57
1453219200,25.9,0,1012,3.15,52
1453226400,29.17,1,1011,2.0,34
1453233600,30.41,0,1010,3.8,41
1453240800,27.14,0,1010,3.48,51
1453284000,20.63,0,1014,0.72,66
1453291200,19.57,1,1014,0.0,66
1453298400,25.33,0,1014,2.02,54
1453305600,27.91,0,1013,2.7,49
1453312800,31.17,1,1010,4.0,33
1453320000,30.37,0,1010,3.94,44
1453327200,27.41,0,1010,3.8,54
1453370400,16.66,0,1013,0.92,86
1453377600,16.87,1,1015,1.0,79
1453384800,22.79,0,1014,2.3,65
1453392000,25.4,2,1014,3.04,59
1453399200,25.97,1,1013,4.0,49
1453406400,29.08,5,1013,4.07,47
1453413600,24.93,3,1013,3.68,64
1453456800,16.69,10,1013,0.93,85
1453464000,17.97,1,1014,0.0,75
1453471200,23.31,0,1013,2.22,63
1453478400,26.12,0,1013,3.04,54
1453485600,28.57,1,1011,4.0,42
1453492800,30.02,0,1011,4.02,46
1453500000,25.91,0,1010,3.79,59
1453543200,16.7,68,1012,1.16,90
1453550400,18.07,1,1013,0.0,69
1453557600,22.51,7,1012,2.31,68
1453564800,24.8,55,1012,3.56,61
1453572000,24.87,40,1012,3.0,49
1453579200,24.64,82,1012,2.86,61
1453586400,21.49,82,1010,3.48,69
1453629600,15.5,100,1013,1.26,89
1453636800,13.57,75,1016,1.0,93
1453644000,16.8,91,1016,1.12,77
1453651200,19.05,88,1016,0.74,69
1453658400,22.17,40,1015,2.0,49
1453665600,22.75,15,1014,2.05,55
1453672800,22.21,1,1012,2.17,55
1453716000,17.11,100,1011,1.01,70
1453723200,16.87,75,1013,0.0,73
1453730400,19.2,100,1014,2.06,68
1453737600,19.36,100,1015,0.89,67
1453744800,20.57,90,1015,1.0,55
1453752000,21.21,57,1014,2.04,61
1453759200,20.77,51,1015,2.22,66
1453802400,17.05,21,1016,0.69,74
1453809600,14.97,1,1018,0.0,83
1453816800,22.14,3,1017,1.73,58
1453824000,23.92,17,1016,2.03,52
1453831200,25.87,40,1015,3.0,44
1453838400,27.01,81,1015,1.94,48
1453845600,23.12,85,1014,2.8,57
1453888800,18.39,97,1015,0.52,64
1453896000,16.97,40,1016,0.0,66
1453903200,21.72,99,1014,1.41,56
1453910400,23.75,99,1014,2.18,51
1453917600,24.77,90,1013,0.0,43
1453924800,26.8,98,1012,2.9,41
1453932000,24.51,98,1011,2.56,52
1453975200,19.09,65,1012,0.84,72
1453982400,19.07,40,1013,0.0,66
1453989600,23.95,77,1012,1.93,54
1453996800,26.04,73,1012,1.98,50
1454004000,27.87,75,1011,1.0,34
1454011200,28.74,40,1011,1.92,41
1454018400,25.9,24,1011,2.14,49
1454061600,17.88,22,1013,0.31,71
1454068800,17.07,40,1015,0.0,74
1454076000,22.33,100,1014,1.61,59
1454083200,23.95,97,1014,2.15,54
1454090400,24.17,75,1014,3.0,48
1454097600,27.01,66,1014,2.52,44
1454104800,24.93,67,1014,2.01,55
1454148000,18.37,0,1015,1.12,69
1454155200,17.17,1,1015,0.0,79
1454162400,24.97,0,1013,1.47,48
1454169600,28.19,0,1012,2.42,40
1454176800,31.37,1,1009,0.0,29
1454184000,33.08,3,1010,2.59,25
1454191200,29.19,1,1010,3.21,42
1454234400,21.09,7,1013,1.25,61
1454241600,19.07,13,1014,0.0,65
1454248800,26.15,45,1014,2.05,49
1454256000,28.67,65,1013,2.77,44
1454263200,29.97,20,1011,1.0,33
1454270400,30.6,50,1013,2.61,36
1454277600,27.05,29,1012,3.32,49
1454320800,18.31,0,1013,0.81,77
1454328000,16.47,1,1014,1.0,87
1454335200,24.29,0,1012,1.89,60
1454342400,27.26,1,1012,2.33,53
1454349600,28.77,1,1009,3.0,42
1454356800,29.65,38,1010,3.55,46
1454364000,26.09,32,1010,3.36,58
1454407200,17.46,0,1011,1.46,75
1454414400,15.77,75,1013,1.0,89
1454421600,22.96,0,1013,1.97,59
1454428800,26.21,2,1013,2.84,54
1454436000,24.77,1,1012,5.0,54
1454443200,27.65,41,1011,3.56,48
1454450400,24.77,35,1011,3.31,60
1454493600,19.89,0,1011,0.82,70
1454500800,16.27,1,1012,0.0,90
1454508000,24.1,0,1011,1.48,54
1454515200,26.86,11,1011,2.28,47
1454522400,28.67,1,1009,4.0,42
1454529600,29.46,26,1011,2.7,42
1454536800,25.76,6,1010,2.72,56
1454580000,18.27,9,1013,0.67,82
1454587200,16.47,90,1014,0.0,89
1454594400,22.2,0,1014,1.56,66
1454601600,24.55,13,1013,2.05,59
1454608800,26.27,18,1012,2.0,52
1454616000,28.57,26,1012,2.88,42
1454623200,24.39,16,1012,2.67,58
1454666400,16.38,0,1014,0.74,77
1454673600,14.77,1,1016,1.0,85
1454680800,23.09,0,1014,1.43,53
1454688000,26.56,0,1013,1.82,44
1454695200,29.27,1,1011,3.0,33
1454702400,30.1,3,1012,2.79,37
1454709600,26.08,6,1012,3.45,48
1454752800,17.81,0,1013,0.48,70
1454760000,16.87,1,1014,0.0,71
1454767200,23.95,0,1013,1.79,53
1454774400,26.75,0,1013,2.48,46
1454781600,29.87,1,1011,3.0,30
1454788800,30.18,3,1011,3.81,40
1454796000,26.19,0,1011,3.23,53
1454839200,17.36,0,1012,0.24,74
1454846400,14.67,1,1014,0.0,82
1454853600,23.09,0,1013,1.93,58
