date,et0,et0_p
'05-06-2022','2.26','100'
'06-06-2022','1.97','100'
'07-06-2022','1.8','100'
'08-06-2022','1.51','100'
'09-06-2022','1.09','100'
'10-06-2022','2.03','100'
'11-06-2022','3.03','100'
'12-06-2022','2.27','100'
'13-06-2022','1.3','100'
'14-06-2022','0.99','100'
'15-06-2022','1.3','100'
'16-06-2022','1.33','100'
'17-06-2022','1.35','100'
'18-06-2022','2','100'
'19-06-2022','1.7','100'
'20-06-2022','1.4','100'
'21-06-2022','1.02','100'
'22-06-2022','1.22','100'
'23-06-2022','1.61','100'
'24-06-2022','0.86','100'
'25-06-2022','1.38','100'
