date,rhmin,rhmax,rhmin_p,rhmax_p
01-01-2021,28.5,62.5,100,100
02-01-2021,34.3,78.3,100,100
03-01-2021,25.2,77.4,100,100
04-01-2021,27.8,69.7,100,100
05-01-2021,25.4,73.2,100,100
06-01-2021,23.6,78.4,100,100
07-01-2021,25.3,75.8,100,100
08-01-2021,30.1,75,100,100
09-01-2021,34.1,94.4,100,100
10-01-2021,24.9,74.6,100,100
11-01-2021,24.9,73.4,100,100
12-01-2021,23.5,65.5,100,100
13-01-2021,19.1,53.3,100,100
14-01-2021,21.3,55.4,100,100
15-01-2021,18.2,59.7,100,100
16-01-2021,20.9,60.8,100,100
17-01-2021,13.4,57,100,100
18-01-2021,21.4,59,100,100
19-01-2021,31.6,66.6,100,100
20-01-2021,35.1,79.8,100,100
21-01-2021,40.9,77.7,100,100
22-01-2021,38,80.1,100,100
23-01-2021,38.1,78.3,100,100
24-01-2021,37.4,73.6,100,100
25-01-2021,37.4,74.8,100,100
26-01-2021,23.6,71.9,100,100
27-01-2021,24.1,68.3,100,100
28-01-2021,21.3,58.4,100,100
29-01-2021,44.3,97.2,100,100
30-01-2021,53.4,97.8,100,100
31-01-2021,49.2,95.1,100,100
01-02-2021,47.1,99.6,100,100
02-02-2021,39.5,100,100,100
03-02-2021,18.1,90.2,100,100
04-02-2021,29.8,82.5,100,100
05-02-2021,53,98.8,100,100
06-02-2021,63,95.7,100,100
07-02-2021,42.7,84.1,100,100
08-02-2021,39.8,82.6,100,100
09-02-2021,30.9,85.6,100,100
10-02-2021,40.8,85.2,100,100
11-02-2021,65,97,100,100
12-02-2021,50.8,82.9,100,100
13-02-2021,55.6,92.6,100,100
14-02-2021,44.4,100,100,100
15-02-2021,49,97.6,100,100
16-02-2021,63.4,95.3,100,100
17-02-2021,38.8,84.2,100,100
18-02-2021,37.4,80.8,100,100
19-02-2021,31.3,79.6,100,100
20-02-2021,25.5,81,100,100
21-02-2021,30.1,73.3,100,100
22-02-2021,20,74.7,100,100
23-02-2021,17.2,70.8,100,100
24-02-2021,27.1,70.2,100,100
25-02-2021,38.9,85.9,100,100
26-02-2021,35.3,88.2,100,100
27-02-2021,24.5,88.9,100,100
28-02-2021,15.6,78.4,100,100
01-03-2021,32.8,79.2,100,100
02-03-2021,38.6,84.6,100,100
03-03-2021,28.6,84.7,100,100
04-03-2021,31,80.5,100,100
05-03-2021,44.4,88.1,100,100
06-03-2021,39.5,88.6,100,100
07-03-2021,33.4,83.2,100,100
08-03-2021,20.3,70.5,100,100
09-03-2021,26.2,70.2,100,100
10-03-2021,38.6,87.6,100,100
11-03-2021,37.2,77.5,100,100
12-03-2021,32.8,73.1,100,100
13-03-2021,35.2,77.9,100,100
14-03-2021,34.5,91.6,100,100
15-03-2021,62,93.7,100,100
16-03-2021,44.6,79.5,100,100
17-03-2021,40.4,82.3,100,100
18-03-2021,53.1,95.9,100,100
19-03-2021,51.7,81.8,100,100
20-03-2021,29.4,83,100,100
21-03-2021,34.8,73.4,100,100
22-03-2021,25.2,79.5,100,100
23-03-2021,31.9,75.8,100,100
24-03-2021,38.3,85.2,100,100
25-03-2021,32.6,99,100,100
26-03-2021,16.3,90,100,100
27-03-2021,11.1,69.4,100,100
28-03-2021,22.4,62.8,100,100
29-03-2021,47.3,100,100,100
30-03-2021,42.7,93.4,100,100
31-03-2021,41.3,94.8,100,100
01-04-2021,50.1,100,100,100
02-04-2021,38.7,99.9,100,100
03-04-2021,25.4,89.8,100,100
04-04-2021,56.5,87.2,100,100
05-04-2021,43.1,89.3,100,100
06-04-2021,40.8,93.6,100,100
07-04-2021,40.2,84.9,100,100
08-04-2021,43.1,75.3,100,100
09-04-2021,36.8,78,100,100
10-04-2021,29.4,83.2,100,100
11-04-2021,16.6,79.8,100,100
12-04-2021,13.5,66.3,100,100
13-04-2021,15.1,67.2,100,100
14-04-2021,32.2,85,100,100
15-04-2021,28.7,94.3,100,100
16-04-2021,25.1,83.8,100,100
17-04-2021,54.9,100,100,100
18-04-2021,43.4,94,100,100
19-04-2021,53.9,94.9,100,100
20-04-2021,44.2,91.9,100,100
21-04-2021,21.7,86.1,100,100
22-04-2021,44.3,100,100,100
23-04-2021,71,90.9,100,100
24-04-2021,33.1,95,100,100
25-04-2021,22,88.9,100,100
26-04-2021,25.1,86.6,100,100
27-04-2021,40.9,100,100,100
28-04-2021,24.9,95.1,100,100
29-04-2021,38.4,89.8,100,100
30-04-2021,65.8,98.7,100,100
01-05-2021,51.9,95.8,100,100
02-05-2021,42,82.2,100,100
03-05-2021,46.6,88.3,100,100
04-05-2021,52.9,93.7,100,100
05-05-2021,36.6,94.3,100,100
06-05-2021,20.2,87.3,100,100
07-05-2021,49,75.2,100,100
08-05-2021,56.7,85.8,100,100
09-05-2021,39.8,90.8,100,100
10-05-2021,26.2,88.7,100,100
11-05-2021,18.5,83.7,100,100
12-05-2021,12.5,68.9,100,100
13-05-2021,37.4,72,100,100
14-05-2021,32.4,77,63,63
15-05-2021,46.2,79.2,100,100
16-05-2021,31.5,90.9,100,100
17-05-2021,19,93.3,100,100
18-05-2021,71.1,100,100,100
19-05-2021,56.2,87.9,100,100
20-05-2021,62.1,95.3,100,100
21-05-2021,54.3,99.5,100,100
22-05-2021,41.2,100,100,100
23-05-2021,22.2,98.9,100,100
24-05-2021,25.5,87.2,100,100
25-05-2021,24.4,88.3,100,100
26-05-2021,23.3,85.4,100,100
27-05-2021,27.2,86,100,100
28-05-2021,44.5,99.5,100,100
29-05-2021,66.6,99.1,100,100
30-05-2021,32.7,100,100,100
31-05-2021,27.2,74,100,100
01-06-2021,43.4,75.4,100,100
02-06-2021,38.9,89,100,100
03-06-2021,36.8,88.8,100,100
04-06-2021,71.7,89.9,100,100
05-06-2021,51.2,92.1,100,100
06-06-2021,53.7,86.1,100,100
07-06-2021,34.1,81.3,100,100
08-06-2021,31,84.2,100,100
09-06-2021,49.3,94,100,100
10-06-2021,43.8,97.1,100,100
11-06-2021,19.4,91.8,100,100
12-06-2021,17.6,71.6,100,100
13-06-2021,43.7,100,100,100
14-06-2021,31.2,100,100,100
15-06-2021,65.3,100,100,100
16-06-2021,40.7,93.9,100,100
17-06-2021,49.3,96.1,100,100
18-06-2021,57.1,100,100,100
19-06-2021,57,91.3,100,100
20-06-2021,61.4,95.6,100,100
21-06-2021,29.8,94.4,100,100
22-06-2021,32.6,79.3,100,100
23-06-2021,80.3,96.2,100,100
24-06-2021,76.1,100,100,100
25-06-2021,82.8,95.2,100,100
26-06-2021,60.1,92.3,100,100
27-06-2021,39.7,100,100,100
28-06-2021,15.3,96.9,100,100
29-06-2021,20.8,89.6,100,100
30-06-2021,40.4,86.6,100,100
01-07-2021,38.8,94.1,100,100
02-07-2021,34.9,95.2,100,100
03-07-2021,33,88.8,100,100
04-07-2021,27.4,99.3,100,100
05-07-2021,21.9,98,100,100
06-07-2021,52.4,97,100,100
07-07-2021,32.8,91.4,100,100
08-07-2021,28.4,86.4,100,100
09-07-2021,58.4,100,100,100
10-07-2021,34.8,100,100,100
11-07-2021,24.3,88.6,100,100
12-07-2021,68.2,100,100,100
13-07-2021,55.7,100,100,100
14-07-2021,50.2,100,100,100
15-07-2021,30.1,99.6,100,100
16-07-2021,32.9,87.3,100,100
17-07-2021,22.1,97.1,100,100
18-07-2021,8.7,83.1,100,100
19-07-2021,12.4,66.6,100,100
20-07-2021,7.5,62.9,100,100
21-07-2021,14.6,78.6,100,100
22-07-2021,16.5,87.5,100,100
23-07-2021,29.6,93.9,100,100
24-07-2021,66.8,92.2,100,100
25-07-2021,42.5,92.2,100,100
26-07-2021,50,94.4,100,100
27-07-2021,35.6,100,100,100
28-07-2021,8.8,92.3,100,100
29-07-2021,10.6,64.5,100,100
30-07-2021,14.2,88.8,100,100
31-07-2021,17.7,98.4,100,100
01-08-2021,12.1,63.7,100,100
02-08-2021,9.2,59.5,100,100
03-08-2021,19.8,78.9,100,100
04-08-2021,35.7,87.6,100,100
05-08-2021,51.9,100,100,100
06-08-2021,44.8,94.9,100,100
07-08-2021,73.6,96.7,100,100
08-08-2021,53.5,87.8,100,100
09-08-2021,43.4,100,100,100
10-08-2021,26.1,92.6,100,100
11-08-2021,24.7,87.1,100,100
12-08-2021,62.5,100,100,100
13-08-2021,37.2,100,100,100
14-08-2021,23.9,93.9,100,100
15-08-2021,61.6,90.1,100,100
16-08-2021,37.8,88.4,100,100
17-08-2021,44.5,87.2,100,100
18-08-2021,73.5,97.2,100,100
19-08-2021,50.4,99.1,100,100
20-08-2021,59.3,94.2,100,100
21-08-2021,51,93.6,100,100
22-08-2021,42.1,89.5,100,100
23-08-2021,51.7,85,100,100
24-08-2021,39.1,98.9,100,100
25-08-2021,52.2,82.2,100,100
