date,rhmin,rhmax,rhmin_p,rhmax_p
05-06-2022,38.9,89.2,100,100
06-06-2022,35.4,93.9,100,100
07-06-2022,44.6,97,100,100
08-06-2022,52.1,100,100,100
09-06-2022,57.6,100,100,100
10-06-2022,17.7,95.5,100,100
11-06-2022,19.7,90.7,100,100
12-06-2022,35.2,100,100,100
13-06-2022,59.2,100,100,100
14-06-2022,64.4,92.9,100,100
15-06-2022,52.4,98.3,100,100
16-06-2022,49.4,92,100,100
17-06-2022,39.5,95.7,100,100
18-06-2022,32.5,85.7,100,100
19-06-2022,38.9,78.2,100,100
20-06-2022,51.1,89.7,100,100
21-06-2022,59.8,93,100,100
22-06-2022,56.6,87.7,100,100
23-06-2022,51.7,97.5,100,100
24-06-2022,65.8,93.2,100,100
25-06-2022,43.9,96.2,100,100

