date,tmean,tmin,tmax,hum,radsol,tmean_percent ,tmin_percent ,tmax_percent ,hum_percent ,radsol_percent  
01-01-2021,22.4,16,28.9,45.5,33.3,100,100,100,100,100
02-01-2021,21.4,14.1,28.7,56.3,31.8,100,100,100,100,100
03-01-2021,22.7,14.6,30.8,51.3,33.6,100,100,100,100,100
04-01-2021,22.9,15.5,30.3,48.8,33.4,100,100,100,100,100
05-01-2021,20.2,12,28.4,49.3,33.6,100,100,100,100,100
06-01-2021,20.6,12.3,29,51,33.6,100,100,100,100,100
07-01-2021,22.2,14,30.4,50.6,33.3,100,100,100,100,100
08-01-2021,21,13.9,28.2,52.6,33.5,100,100,100,100,100
09-01-2021,19,11.4,26.6,64.2,25.6,100,100,100,100,100
10-01-2021,18.8,10.2,27.4,49.8,33.9,100,100,100,100,100
11-01-2021,19.6,11,28.1,49.2,33.7,100,100,100,100,100
12-01-2021,21.4,12.9,30,44.5,33.5,100,100,100,100,100
13-01-2021,21.1,12.2,30,36.2,33.9,100,100,100,100,100
14-01-2021,21,12.6,29.5,38.4,33.5,100,100,100,100,100
15-01-2021,21.4,13.3,29.4,39,32,100,100,100,100,100
16-01-2021,21.5,14,29,40.8,33.5,100,100,100,100,100
17-01-2021,22.6,13.2,32,35.2,33.9,100,100,100,100,100
18-01-2021,22.8,14.5,31.2,40.2,32.9,100,100,100,100,100
19-01-2021,22.6,15.8,29.3,49.1,31.5,100,100,100,100,100
20-01-2021,22.3,14.6,30,57.4,31.8,100,100,100,100,100
21-01-2021,21.8,15.4,28.2,59.3,31.5,100,100,100,100,100
22-01-2021,22.8,15.5,30.2,59,31.2,100,100,100,100,100
23-01-2021,22.9,16.4,29.4,58.2,30.7,100,100,100,100,100
24-01-2021,23.6,17,30.2,55.5,30.4,100,100,100,100,100
25-01-2021,22.8,16.3,29.4,56.1,31.2,100,100,100,100,100
26-01-2021,22.5,15.2,29.9,47.8,31.2,100,100,100,100,100
27-01-2021,21.5,13.7,29.4,46.2,31.9,100,100,100,100,100
28-01-2021,22,15.7,28.2,39.8,23.1,100,100,100,100,100
29-01-2021,18.4,14.5,22.3,70.8,6.9,100,100,100,100,100
30-01-2021,18.9,14.5,23.3,75.6,13.3,100,100,100,100,100
31-01-2021,20.3,16,24.6,72.2,23.1,100,100,100,100,100
01-02-2021,18,12.2,23.7,73.4,26.4,100,100,100,100,100
02-02-2021,19,13,25,69.8,28.3,100,100,100,100,100
03-02-2021,21.8,12.2,31.5,54.2,31.3,100,100,100,100,100
04-02-2021,23.5,15.6,31.4,56.2,31.3,100,100,100,100,100
05-02-2021,18.9,13.5,24.3,75.9,27.5,100,100,100,100,100
06-02-2021,17.4,13.5,21.4,79.4,21.3,100,100,100,100,100
07-02-2021,20.4,15.6,25.3,63.4,21.1,100,100,100,100,100
08-02-2021,19.6,12.9,26.3,61.2,30.2,100,100,100,100,100
09-02-2021,21.8,12.9,30.8,58.2,30.1,100,100,100,100,100
10-02-2021,22.4,15.6,29.2,63,29.4,100,100,100,100,100
11-02-2021,18.2,14.8,21.7,81,22,100,100,100,100,100
12-02-2021,22.1,17.8,26.4,66.8,20.7,100,100,100,100,100
13-02-2021,19.9,15.2,24.6,74.1,21.1,100,100,100,100,100
14-02-2021,19,13,25.1,72.2,25.9,100,100,100,100,100
15-02-2021,18.2,12.8,23.6,73.3,25.7,100,100,100,100,100
16-02-2021,16.1,12.5,19.7,79.4,16.3,100,100,100,100,100
17-02-2021,19.5,13.2,25.9,61.5,26.9,100,100,100,100,100
18-02-2021,18.8,11.3,26.3,59.1,28.7,100,100,100,100,100
19-02-2021,20.5,12.2,28.9,55.4,28.9,100,100,100,100,100
20-02-2021,21.4,13,29.7,53.2,29.1,100,100,100,100,100
21-02-2021,21,13.3,28.7,51.7,28.9,100,100,100,100,100
22-02-2021,20.5,11.6,29.4,47.4,29,100,100,100,100,100
23-02-2021,22.7,13.4,32,44,28.9,100,100,100,100,100
24-02-2021,21,13.3,28.8,48.7,28.5,100,100,100,100,100
25-02-2021,20.9,13.5,28.3,62.4,27.9,100,100,100,100,100
26-02-2021,21.4,12.9,29.8,61.8,27.8,100,100,100,100,100
27-02-2021,22.4,13.2,31.7,56.7,27.7,100,100,100,100,100
28-02-2021,23.6,14.1,33.1,47,27.4,100,100,100,100,100
01-03-2021,20.6,14.2,27.1,56,18.3,100,100,100,100,100
02-03-2021,21.5,14.5,28.5,61.6,25,100,100,100,100,100
03-03-2021,22.7,14.9,30.5,56.6,25.9,100,100,100,100,100
04-03-2021,24.4,15.8,33,55.8,25.9,100,100,100,100,100
05-03-2021,20.5,14,27,66.2,24.9,100,100,100,100,100
06-03-2021,21.3,14.4,28.2,64,24.9,100,100,100,100,100
07-03-2021,22.8,14.6,30.9,58.3,25.6,100,100,100,100,100
08-03-2021,24.7,16.2,33.2,45.4,25.6,100,100,100,100,100
09-03-2021,21.8,14.1,29.4,48.2,25.2,100,100,100,100,100
