date,temp,rh,pressure,rs,wind,t_p ,Hr_p,pa_p ,rs_p ,wind_p 
01-01-2021,22.4,45.5,958,33.3,16.8,100,100,100,100,100
02-01-2021,21.4,56.3,959,31.8,18.3,100,100,100,100,100
03-01-2021,22.7,51.3,959,33.6,16.6,100,100,100,100,100
04-01-2021,22.9,48.8,957,33.4,16.6,100,100,100,100,100
05-01-2021,20.2,49.3,958,33.6,18.2,100,100,100,100,100
06-01-2021,20.6,51,960,33.6,16,100,100,100,100,100
07-01-2021,22.2,50.6,960,33.3,15.1,100,100,100,100,100
08-01-2021,21,52.6,960,33.5,17.2,100,100,100,100,100
09-01-2021,19,64.2,960,25.6,16.1,100,100,100,100,100
10-01-2021,18.8,49.8,960,33.9,16.6,100,100,100,100,100
11-01-2021,19.6,49.2,961,33.7,13.8,100,100,100,100,100
12-01-2021,21.4,44.5,959,33.5,13.6,100,100,100,100,100
13-01-2021,21.1,36.2,959,33.9,14.6,100,100,100,100,100
14-01-2021,21,38.4,958,33.5,14.1,100,100,100,100,100
15-01-2021,21.4,39,958,32,15,100,100,100,100,100
16-01-2021,21.5,40.8,958,33.5,14.1,100,100,100,100,100
17-01-2021,22.6,35.2,958,33.9,12.1,100,100,100,100,100
18-01-2021,22.8,40.2,956,32.9,12.3,100,100,100,100,100
19-01-2021,22.6,49.1,958,31.5,15.2,100,100,100,100,100
20-01-2021,22.3,57.4,957,31.8,17.1,100,100,100,100,100
21-01-2021,21.8,59.3,958,31.5,15.9,100,100,100,100,100
22-01-2021,22.8,59,956,31.2,13.5,100,100,100,100,100
23-01-2021,22.9,58.2,957,30.7,16.4,100,100,100,100,100
24-01-2021,23.6,55.5,957,30.4,15.8,100,100,100,100,100
25-01-2021,22.8,56.1,956,31.2,17.8,100,100,100,100,100
26-01-2021,22.5,47.8,958,31.2,17.8,100,100,100,100,100
27-01-2021,21.5,46.2,958,31.9,15.1,100,100,100,100,100
28-01-2021,22,39.8,956,23.1,15,100,100,100,100,100
