date,tmin,tmax,rhday,rhnight,wind,wc,cod_wc,ra,et0_pmfao56_raxwc
2022-06-06,5.0,17.0,63.0,71.0,11.0,Mayormente soleado,0.7,17.018861900775242,3.2588904061758575
2022-06-07,4.0,17.0,65.0,75.0,11.0,Mayormente soleado,0.7,16.953505967123995,3.0578209440477657
2022-06-08,4.0,18.0,59.0,70.0,11.0,Muy nublado,0.3,16.892478226932162,3.608461305824052
2022-06-09,5.0,18.0,62.0,60.0,10.0,Nublado,0.5,16.835792144763012,3.3235167928456937
2022-06-10,6.0,21.0,37.0,49.0,11.0,Mayormente soleado,0.7,16.783460029518697,6.1205294691996
2022-06-11,6.0,21.0,39.0,62.0,12.0,Mayormente soleado,0.7,16.735493054850483,6.1288788723358865
2022-06-12,5.0,20.0,53.0,75.0,12.0,Nublado,0.5,16.6919012784992,4.591476065987637
2022-06-13,4.0,16.0,67.0,88.0,14.0,Nublado,0.5,16.6526936604661,2.9551208627716066
2022-06-14,4.0,15.0,73.0,88.0,13.0,Parcialmente nublado,0.7,16.617878079920875,2.354090390272775
2022-06-15,3.0,13.0,75.0,94.0,14.0,Parcialmente nublado,0.7,16.587461350761064,2.0432546990269644
2022-06-16,1.0,13.0,77.0,84.0,11.0,Parcialmente nublado,0.7,16.561449235744576,1.7453592262387203
2022-06-17,2.0,13.0,71.0,82.0,10.0,Mayormente soleado,0.7,16.53984645912528,2.1082580833072497
2022-06-18,4.0,16.0,58.0,74.0,10.0,Parcialmente nublado,0.7,16.522656717730005,3.342504955407277
2022-06-19,3.0,17.0,55.0,77.0,11.0,Muy nublado,0.3,16.50988269042417,3.7392248568398507
2022-06-20,4.0,14.0,74.0,91.0,12.0,Nublado,0.5,16.50152604592202,2.1330079238722117
2022-06-21,4.0,11.0,82.0,97.0,11.0,Lluvia,0.05,16.497587448907208,1.1757437567693703
2022-06-22,1.0,9.0,86.0,96.0,10.0,Lluvia,0.05,16.49806656443842,0.7843148662976612
2022-06-23,3.0,12.0,83.0,94.0,10.0,Chubascos,0.2,16.502962060624665,1.2493732869123515
2022-06-24,1.0,13.0,75.0,90.0,10.0,Muy nublado,0.3,16.512271609564174,1.7907364754236939
2022-06-25,2.0,12.0,81.0,93.0,10.0,Chubascos por la tarde,0.2,16.525991886550948,1.351137062330159
2022-06-26,2.0,13.0,81.0,94.0,10.0,Lluvia,0.05,16.544118567562066,1.2418904403365076
2022-06-27,2.0,13.0,77.0,81.0,11.0,Chubascos,0.2,16.56664632504884,1.6983634160249284
2022-06-28,5.0,15.0,66.0,77.0,9.0,Muy nublado,0.3,16.59356882206411,2.6007155896801573
2022-06-29,5.0,15.0,69.0,79.0,9.0,Chubascos,0.2,16.62487870476707,2.3531261601967435
