date,tmin,tmax,rhday,rhnight,wind,wc,cod_wc,ra,et0_pmfao56_raxwc
2022-06-02,5.0,14.0,74.0,72.0,11.0,Parcialmente nublado,0.7,17.323256610735168,2.181832043479718
2022-06-03,6.0,12.0,81.0,84.0,11.0,Lluvia,0.05,17.240746427242645,1.3348005116982808
2022-06-04,6.0,14.0,78.0,83.0,11.0,Muy nublado,0.3,17.162498582803057,1.8613191427897908
2022-06-05,4.0,16.0,77.0,79.0,10.0,Mayormente soleado,0.7,17.088531386287734,2.022839811270659
2022-06-06,4.0,18.0,61.0,78.0,10.0,Mayormente soleado,0.7,17.018861900775242,3.3895722686972145
2022-06-07,5.0,17.0,69.0,83.0,10.0,Mayormente soleado,0.7,16.953505967123995,2.716070679576783
2022-06-08,4.0,17.0,69.0,89.0,13.0,Muy nublado,0.3,16.892478226932162,2.8250162216464854
2022-06-09,6.0,18.0,64.0,59.0,10.0,Nublado,0.5,16.835792144763012,3.209524268524817
2022-06-10,6.0,22.0,39.0,48.0,10.0,Mayormente soleado,0.7,16.783460029518697,5.9383851118385484
2022-06-11,5.0,22.0,40.0,70.0,12.0,Mayormente soleado,0.7,16.735493054850483,6.199839072957848
2022-06-12,5.0,19.0,55.0,78.0,11.0,Nublado,0.5,16.6919012784992,4.1348175448347755
2022-06-13,3.0,15.0,69.0,93.0,12.0,Nublado,0.5,16.6526936604661,2.548087241022803
2022-06-14,2.0,14.0,79.0,89.0,13.0,Parcialmente nublado,0.7,16.617878079920875,1.7682118790731085
2022-06-15,5.0,14.0,76.0,94.0,12.0,Parcialmente nublado,0.7,16.587461350761064,2.049173682648485
2022-06-16,1.0,13.0,81.0,93.0,12.0,Parcialmente nublado,0.7,16.561449235744576,1.5148576208369184
2022-06-17,2.0,15.0,68.0,74.0,10.0,Mayormente soleado,0.7,16.53984645912528,2.469705328469335
2022-06-18,5.0,16.0,55.0,75.0,11.0,Muy nublado,0.3,16.522656717730005,3.709122604022174
2022-06-19,4.0,15.0,58.0,73.0,9.0,Nublado,0.5,16.50988269042417,3.1070129288955948
2022-06-20,4.0,13.0,64.0,86.0,12.0,Muy nublado,0.3,16.50152604592202,2.7463532927214147
2022-06-21,4.0,13.0,75.0,88.0,10.0,Nublado,0.5,16.497587448907208,1.9017585873248262
2022-06-22,5.0,13.0,80.0,83.0,8.0,Chubascos,0.2,16.49806656443842,1.4460315184591088
2022-06-23,3.0,11.0,88.0,88.0,9.0,Lluvia,0.05,16.502962060624665,0.7241474341818515
2022-06-24,5.0,14.0,69.0,75.0,9.0,Nublado,0.5,16.512271609564174,2.3358261839265504
2022-06-25,3.0,16.0,63.0,88.0,11.0,Nublado,0.5,16.525991886550948,3.0203658348888243
